fixed,fixed_value,variable,in_a,agg,model,theta
[name],"[""Changshui Zhang""]","[year, pubcount]",pubkey,count,const,0.958360583945661
[name],"[""Charles Lee Isbell Jr.""]","[year, pubcount]",pubkey,count,const,0.990926897805081
[name],"[""Charu C. Aggarwal""]","[year, pubcount]",pubkey,count,const,0.988728376422355
[name],"[""Chen Li""]","[year, pubcount]",pubkey,count,const,0.999375682869036
[name],"[""Chris H. Q. Ding""]","[year, pubcount]",pubkey,count,const,0.999916758850712
[name],"[""Chris Jermaine""]","[year, pubcount]",pubkey,count,const,0.986659104511567
[name],"[""Christian B+\\xa6hm""]","[year, pubcount]",pubkey,count,const,0.901297024724506
[name],"[""Christian S. Jensen""]","[year, pubcount]",pubkey,count,const,0.999902175028874
[name],"[""Christoph Koch""]","[year, pubcount]",pubkey,count,const,0.999828727682409
[name],"[""Christopher M. Jermaine""]","[year, pubcount]",pubkey,count,const,0.976884712247367
[name],"[""Christopher Olston""]","[year, pubcount]",pubkey,count,const,0.987526281801654
[name],"[""Christopher R+\\xac""]","[year, pubcount]",pubkey,count,const,0.883405903433306
[name],"[""Christos Faloutsos""]","[year, pubcount]",pubkey,count,const,0.978082937847527
[name],"[""Chun Chen""]","[year, pubcount]",pubkey,count,const,0.85711248909197
[name],"[""Clement T. Yu""]","[year, pubcount]",pubkey,count,const,0.999223748623793
[name],"[""Cong Yu""]","[year, pubcount]",pubkey,count,const,0.993138693628082
[name],"[""Corinna Cortes""]","[year, pubcount]",pubkey,count,const,0.99975463046955
[name],"[""Craig Boutilier""]","[year, pubcount]",pubkey,count,const,0.999808925889179
[name],"[""Csaba Szepesv+\\xedri""]","[year, pubcount]",pubkey,count,const,0.998098067279357
[name],"[""Dale Schuurmans""]","[year, pubcount]",pubkey,count,const,0.999925914806325
[name],"[""Dan Klein""]","[year, pubcount]",pubkey,count,const,0.993347785752577
[name],"[""Dan Olteanu""]","[year, pubcount]",pubkey,count,const,0.974913501792982
[name],"[""Dan Roth""]","[year, pubcount]",pubkey,count,const,0.999223748623793
[name],"[""Dan Suciu""]","[year, pubcount]",pubkey,count,const,0.999117264712992
[name],"[""Dana S. Nau""]","[year, pubcount]",pubkey,count,const,0.993347785752577
[name],"[""Daniel D. Lee""]","[year, pubcount]",pubkey,count,const,0.981047515705364
[name],"[""Daniel Deutch""]","[year, pubcount]",pubkey,count,const,0.987526281801654
[name],"[""Daniel J. Abadi""]","[year, pubcount]",pubkey,count,const,0.995711199665676
[name],"[""Daniel S. Weld""]","[year, pubcount]",pubkey,count,const,1
[name],"[""Daphne Koller""]","[year, pubcount]",pubkey,count,const,0.999251991721361
[name],"[""David B. Dunson""]","[year, pubcount]",pubkey,count,const,0.993347785752577
[name],"[""David B. Lomet""]","[year, pubcount]",pubkey,count,const,0.93435754562155
[name],"[""David C. Parkes""]","[year, pubcount]",pubkey,count,const,0.999223748623793
